Departamento;Municipio;Semester;count;min;max;mean;std,
TOLIMA;ATACO;2023-S1;56167;0.0;16.1;0.03433866861324265;0.3234587951663281,
LA GUAJIRA;RIOHACHA;2023-S1;31887;0.0;8.91;0.004332800200708753;0.12151758669609625,
ATLÁNTICO;SOLEDAD;2023-S1;36468;0.0;23.36;0.03670862125699243;0.4746205108042039,
CESAR;PAILITAS;2023-S1;9883;0.0;9.8;0.013902661135282806;0.22631248766353174,
HUILA;TELLO;2023-S1;35414;0.0;5.9;0.01943864008584176;0.15962590399294296,
HUILA;GIGANTE;2023-S1;46366;0.0;6.6;0.016898158133114783;0.1616886446099708,
BOGOTA D.C.;BOGOTA, D.C;2023-S1;21499;0.0;5.33;0.04508767849667426;0.1636218348333092
CÓRDOBA;MONTERÍA;2023-S1;25129;0.0;4.8;0.0009311950336264874;0.050379888444408154,
CESAR;PUEBLO BELLO;2023-S1;40973;0.0;10.0;0.01327703609694189;0.2017047145376634,
CUNDINAMARCA;GUAYABETAL;2023-S1;238396;0.0;6.5;0.059659977516401286;0.23473281554747433,
BOLIVAR;SAN JACINTO DEL CAUCA;2023-S1;25286;0.0;21.8;0.0464525824566954;0.551357531383532,
ATLANTICO;JUAN DE ACOSTA;2023-S1;24508;0.0;11.5;0.012387791741472174;0.17691690304602364,
CESAR;AGUSTÍN CODAZZI;2023-S1;23971;0.0;19.6;0.029589921154728634;0.3976811105697666,
CALDAS;CHINCHINA;2023-S1;45614;0.0;8.0;0.029142368571052752;0.23650339883452678,
SANTANDER;CONFINES;2023-S1;42650;0.0;9.3;0.01918171160609613;0.1971887013543847,
TOLIMA;DOLORES;2023-S1;46576;0.0;7.1;0.019458519409137752;0.18444006419683862,
HUILA;SAN AGUSTÍN;2023-S1;68395;0.0;26.95;0.016291980407924556;0.23709309827806668,
CHOCO;EL CARMEN;2023-S1;26089;0.0;2.4;0.002089003028096133;0.04075723999163829,
QUINDÍO;PIJAO;2023-S1;53454;0.0;10.2;0.022623190032551355;0.19740955062331325,
BOYACÁ;SOGAMOSO;2023-S1;61980;0.0;12.4;0.019753146176185867;0.20413078034490634,
NORTE DE SANTANDER;DURANIA;2023-S1;6291;0.0;13.0;0.02282625973613098;0.34443154917497526,
CUNDINAMARCA;EL COLEGIO;2023-S1;47263;0.0;6.4;0.019947950828343525;0.1825019178595332,
BOYACÁ;MONIQUIRÁ;2023-S1;50169;0.0;9.1;0.020803683549602346;0.18798936540275457,
ANTIOQUIA;MEDELLÍN;2023-S1;20425;0.0;9.249;0.02684230110159119;0.2146416765385467,
BOYACÁ;PÁEZ;2023-S1;12155;0.0;17.35;0.12227289181406828;0.9771413629547797,
MAGDALENA;PLATO;2023-S1;24938;0.0;13.6;0.014548079236506537;0.24394022935870735,
SANTANDER;BARRANCABERMEJA;2023-S1;34721;0.0;19.42;0.026935975346332196;0.367159318275252,
CAQUETA;SOLANO;2023-S1;20359;0.0;16.7;0.04742865563141608;0.5102506992779925,
NORTE DE SANTANDER;CÚCUTA;2023-S1;43187;0.0;17.39;0.018381457383008774;0.26423321684375384,
CASANARE;TAURAMENA;2023-S1;9232;0.0;24.01;0.29495331455805895;2.1339811655381298,
CASANARE;AGUAZUL;2023-S1;16407;0.0;14.8;0.004613884317669287;0.19242334053338764,
BOYACÁ;CAMPOHERMOSO;2023-S1;14706;0.0;12.0;0.052039983680130554;0.3450612155369545,
CUNDINAMARCA;CÁQUEZA;2023-S1;25009;0.0;0.0;0.0;0.0,
NARIÑO;PASTO;2023-S1;60850;0.0;11.3;0.02030073952341824;0.15484699549591632,
BOYACÁ;PUERTO BOYACÁ;2023-S1;1079;0.0;6.389;0.04278405931417979;0.30195777187874784,
LA GUAJIRA;ALBANIA;2023-S1;10664;0.0;1.2;0.009414853713428357;0.039449875348674536,
TOLIMA;CUNDAY;2023-S1;10681;0.0;0.0;0.0;0.0,
CAUCA;GUAPI;2023-S1;34777;0.0;26.5;0.09348132386347298;0.6762244518798596,
CAQUETA;FLORENCIA;2023-S1;33478;0.0;19.8;0.012796463349065059;0.30919620626075633,
CHOCO;UNGUÍA;2023-S1;10631;0.0;0.0;0.0;0.0,
CUNDINAMARCA;MOSQUERA;2023-S1;10681;0.0;8.3;0.022207658458945793;0.19758664325563077,
CUNDINAMARCA;MEDINA;2023-S1;10536;0.0;16.6;0.047665148063781325;0.4781969142651953,
META;VILLAVICENCIO;2023-S1;30693;0.0;15.8;0.05823477665917311;0.4575036938402495,
CUNDINAMARCA;NARIÑO;2023-S1;5149;0.0;4.3;0.025771994562050888;0.11641669550936787,
CUNDINAMARCA;SILVANIA;2023-S1;21349;0.0;9.4;0.03448405077521195;0.3089821456951967,
BOYACÁ;SANTA MARÍA;2023-S1;10371;0.0;2.5;0.0068074438337672365;0.06647147173061789,
SANTANDER;TONA;2023-S1;18634;0.0;9.6;0.019555650960609638;0.1875440048599791,
ATLANTICO;REPELÓN;2023-S1;10646;0.0;1.7;0.001418373097877137;0.030075187706281488,
BOYACÁ;AQUITANIA;2023-S1;87731;0.0;29.1;0.012973749301843135;0.13846415706610968,
SANTANDER;BUCARAMANGA;2023-S1;12520;0.0;1.9;0.0035862619808306713;0.04288964995675843,
BOYACÁ;VENTAQUEMADA;2023-S1;10681;0.0;0.9;0.004128826888868084;0.031187362294249014,
QUINDÍO;CALARCÁ;2023-S1;26370;0.0;1.6;0.0006636329161926432;0.018141477811512013,
CUNDINAMARCA;PUERTO SALGAR;2023-S1;20362;0.0;17.4;0.014664571260190553;0.28560585900018987,
MAGDALENA;CIÉNAGA;2023-S1;10681;0.0;4.7;0.005111880910027151;0.10240593166921777,
VALLE DEL CAUCA;BUGA;2023-S1;21355;0.0;8.8;0.0025708265043315384;0.08837794583787965,
